City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Kahului,40,US,1569358502,89.6,3.36,20.89,-156.47,83
Codrington,40,AU,1569358503,61,2.57,-28.95,153.24,93
Ushuaia,20,AR,1569358503,51.8,32.21,-54.81,-68.31,70
Dikson,100,RU,1569358503,36.13,21.54,73.51,80.55,96
Touros,0,BR,1569358504,80.6,13.87,-5.2,-35.46,61
Thompson,75,CA,1569358504,55.4,17.22,55.74,-97.86,62
Rikitea,57,PF,1569358504,70.69,6.33,-23.12,-134.97,67
Nikolayevka,81,RU,1569358504,55.93,14.09,46.73,38.57,64
Evanston,1,US,1569358505,81,14.99,42.04,-87.69,50
Menongue,0,AO,1569358505,65.47,5.17,-14.66,17.68,16
Atuona,0,PF,1569358505,79.69,19.15,-9.8,-139.03,77
Butaritari,35,KI,1569358506,85.27,10.11,3.07,172.79,68
Hithadhoo,100,MV,1569358506,79.87,21.21,-0.6,73.08,81
Port Elizabeth,1,US,1569358506,80.6,5.82,39.31,-74.98,47
Villamontes,57,BO,1569358507,91.4,5.82,-21.26,-63.47,31
New Norfolk,20,AU,1569358507,46.99,6.93,-42.78,147.06,81
Gizo,0,IL,1569358507,77,3.36,31.8,34.94,65
Coahuayana,31,MX,1569358508,86.53,1.74,18.62,-100.35,66
Chumikan,0,RU,1569358508,30.37,10.42,54.72,135.31,72
Tiksi,100,RU,1569358508,32.89,8.84,71.64,128.87,85
Sola,74,TZ,1569358509,75.19,3.2,-3.17,33.8,58
Dakar,15,SN,1569358475,84.2,3.36,14.69,-17.45,88
Castro,0,CL,1569358509,60.8,8.05,-42.48,-73.76,77
Mataura,100,NZ,1569358509,43,11.99,-46.19,168.86,80
Hobart,20,AU,1569358510,46.99,6.93,-42.88,147.33,81
Albany,90,US,1569358424,69.01,5.82,42.65,-73.75,82
Bluff,83,AU,1569358510,65.83,8.79,-23.58,149.07,85
Sao Filipe,100,CV,1569358510,81.31,2.68,14.9,-24.5,81
Punta Arenas,40,CL,1569358511,53.6,25.28,-53.16,-70.91,50
Kochubey,88,RU,1569358511,60.79,7.11,44.39,46.54,85
Caravelas,22,BR,1569358511,71.05,12.5,-17.73,-39.27,72
Gunnedah,40,AU,1569358512,44.01,4.7,-30.98,150.25,64
Barrow,0,AR,1569358512,65.65,8.01,-38.31,-60.23,61
Tapiramuta,26,BR,1569358512,69.61,7.45,-11.85,-40.79,72
Batie,48,FR,1569358513,62.01,5.82,45.06,5.82,93
Margate,20,AU,1569358513,46.99,6.93,-43.03,147.26,81
Ancud,0,CL,1569358513,60.8,8.05,-41.87,-73.83,77
Lata,1,IN,1569358514,34.69,1.83,30.78,78.62,93
Ribeira Grande,20,PT,1569358514,68,5.82,38.52,-28.7,72
Port Alfred,58,ZA,1569358514,60.01,4,-33.59,26.89,64
Muncar,29,ID,1569358514,69.61,3.06,-8.43,114.34,97
Standerton,52,ZA,1569358515,48.99,5.99,-26.94,29.24,85
Tuktoyaktuk,75,CA,1569358515,39.2,6.93,69.44,-133.03,86
East London,96,ZA,1569358515,53.59,2.3,-33.02,27.91,74
Langsa,57,ID,1569358515,67.63,3.11,4.47,97.97,89
San-Pedro,100,CI,1569358516,72.49,3.33,4.75,-6.64,99
Hasaki,75,JP,1569358516,69.8,10.29,35.73,140.83,88
Busselton,74,AU,1569358516,57,15.79,-33.64,115.35,74
Avera,40,US,1569358517,96.8,6.93,33.19,-82.53,36
Makakilo City,40,US,1569358517,86,10.29,21.35,-158.09,58
Hermanus,0,ZA,1569358517,62.01,14,-34.42,19.24,80
Mount Gambier,75,AU,1569358517,42.8,4.7,-37.83,140.78,100
Mar del Plata,0,AR,1569358428,68.53,12.37,-46.43,-67.52,27
Faya,0,SA,1569358518,75.2,4.7,18.39,42.45,68
Padang,100,ID,1569358518,78.79,15.46,-0.92,100.36,86
Inhambane,89,MZ,1569358519,66.73,7.94,-23.87,35.38,77
Esperance,99,AU,1569358519,57.2,14.99,-33.86,121.89,44
Miraflores,0,PE,1569358520,69.8,9.17,-16.39,-71.52,16
Sinnamary,71,GF,1569358520,82.21,12.01,5.38,-52.96,79
Kapaa,40,US,1569358520,84.2,11.41,22.08,-159.32,70
Vaini,100,IN,1569358521,75.01,2.44,15.34,74.49,97
Eyl,100,SO,1569358521,74.65,16.04,7.98,49.82,74
Togur,99,RU,1569358521,40.81,8.28,58.36,82.83,88
Hirara,13,JP,1569358522,76.81,16.84,24.8,125.28,78
Norman Wells,40,CA,1569358522,46.4,10.29,65.28,-126.83,65
Kaitangata,100,NZ,1569358522,39,5.99,-46.28,169.85,78
Jamestown,0,AU,1569358396,44.23,9.04,-33.21,138.6,87
Hilo,90,US,1569358523,84.2,10.29,19.71,-155.08,62
Nabire,100,ID,1569358523,70.51,3.09,-3.36,135.5,98
Alofi,75,NU,1569358524,73.4,10.29,-19.06,-169.92,64
Saint-Philippe,90,CA,1569358524,62.6,9.17,45.36,-73.48,67
Troitskoye,30,RU,1569358524,47.47,3.47,52.98,84.68,72
Vardo,75,US,1569358525,78.01,6.93,39.62,-77.74,41
Coihaique,75,CL,1569358525,57.2,5.82,-45.58,-72.07,67
Vrede,94,ZA,1569358525,46.57,11.95,-27.43,29.16,75
Torbay,90,CA,1569358525,48,16.11,47.66,-52.73,87
Bredasdorp,58,ZA,1569358526,59,16.11,-34.53,20.04,67
Lebu,90,ET,1569358526,55.93,3.49,8.96,38.73,89
Zaltan,95,LY,1569358526,76.99,8.41,32.95,11.87,80
Kushiro,0,JP,1569358526,50.17,11.52,43.11,144.15,66
Buala,100,SB,1569358526,77.53,4.38,-8.15,159.59,84
Petropavlovsk-Kamchatskiy,90,RU,1569358406,50,15.66,53.05,158.65,100
Qaanaaq,80,GL,1569358527,22.63,6.29,77.48,-69.36,85
Truth or Consequences,63,US,1569358527,73.99,5.99,33.13,-107.25,45
Bethel,90,US,1569358436,44.6,12.75,60.79,-161.76,87
Luyang,0,CN,1569358528,68,1.77,31.88,117.26,68
Tocopilla,93,CL,1569358529,56.83,8.59,-22.09,-70.2,88
Kodiak,40,US,1569358529,84,13.87,39.95,-94.76,69
Kuryk,100,KZ,1569358529,63.13,6.24,43.18,51.68,50
Puerto Ayora,40,EC,1569358530,78.8,14.99,-0.74,-90.35,61
Guerrero Negro,1,MX,1569358530,69.79,10.27,27.97,-114.04,83
Surman,93,LY,1569358530,77.53,11.61,32.76,12.57,83
Laguna,20,BZ,1569358530,91.4,6.93,16.17,-88.94,59
Mandalgovi,16,MN,1569358531,55.93,6.76,45.76,106.27,29
Kruisfontein,1,ZA,1569358531,48.37,6.6,-34,24.73,84
Longonjo,30,AO,1569358531,58.09,3.51,-12.91,15.25,88
Saskylakh,100,RU,1569358531,35.95,7.34,71.97,114.09,94
Hambantota,100,LK,1569358532,80.41,12.35,6.12,81.12,81
Chara,75,GR,1569358532,66.2,2.73,39.42,22.43,93
Port Macquarie,1,AU,1569358533,53.01,1.12,-31.43,152.91,100
Beloha,84,MG,1569358533,69.07,9.19,-25.17,45.06,80
Georgetown,75,GY,1569358264,89.6,11.41,6.8,-58.16,70
Tomatlan,99,MX,1569358533,83.65,10.71,19.93,-105.25,82
Svetlogorsk,75,RU,1569358533,32,13.42,53.14,59.15,78
Pumiao,1,CN,1569358534,68,2.24,22.75,108.49,94
Upernavik,100,GL,1569358534,33.25,5.39,72.79,-56.15,94
Vao,97,EE,1569358535,41.89,4.92,59.1,26.19,78
Maragogi,10,BR,1569358330,71.23,4.83,-9.01,-35.22,86
Kenai,75,US,1569358535,53.01,5.82,60.55,-151.26,76
Bowen,40,AU,1569358536,66.2,8.05,-20.01,148.25,88
Aksu,0,KZ,1569358536,33.8,4.47,52.04,76.93,80
Phuket,20,TH,1569358536,77,1.12,7.89,98.4,88
Skibbereen,75,IE,1569358536,57.2,13.87,51.55,-9.27,100
Namibe,100,AO,1569358537,69.07,5.59,-15.19,12.15,91
Saint George,75,GR,1569358537,66.2,2.73,39.45,22.34,93
Vestmannaeyjar,84,IS,1569358537,50.35,23.6,63.44,-20.27,91
Salalah,75,OM,1569358416,80.6,6.93,17.01,54.1,83
Ostrovnoy,100,RU,1569358538,37.57,13.96,68.05,39.51,80
Bambanglipuro,20,ID,1569358538,74.83,13.38,-7.95,110.28,89
Tandil,0,AR,1569358538,80.01,1.99,-37.33,-59.14,30
Havre-Saint-Pierre,20,CA,1569358538,50,9.17,50.23,-63.6,71
Paratebueno,75,CO,1569358539,82.4,5.82,4.38,-73.21,69
Liepaja,44,LV,1569358539,44.6,5.82,56.52,21.02,70
Avarua,0,CK,1569358290,73.4,10.29,-21.21,-159.78,60
Yar-Sale,91,RU,1569358539,35.77,18.66,66.83,70.83,86
Dunedin,100,NZ,1569358540,48.99,11.01,-45.87,170.5,57
Kaka,0,TM,1569358540,63.49,4.54,37.35,59.62,29
Palmas,0,BR,1569358487,96.8,3.36,-10.18,-48.33,22
Nanortalik,82,GL,1569358541,42.97,0.29,60.14,-45.24,78
Katsuura,40,JP,1569358541,68,9.17,33.93,134.5,77
Rawson,30,AR,1569358541,69.43,6.8,-43.3,-65.11,35
Luderitz,0,NA,1569358542,87.8,10.29,-26.65,15.16,10
Najran,0,SA,1569358542,78.8,2.17,17.54,44.22,26
Posse,44,BR,1569358542,86.17,4.99,-14.08,-46.36,27
Victoria,75,BN,1569358407,84.2,11.41,5.28,115.24,62
Goderich,0,CA,1569358543,70,8.99,43.74,-81.71,57
Roald,75,NO,1569358543,53.6,5.82,62.58,6.12,87
Chimbote,93,PE,1569358543,61.51,12.08,-9.08,-78.59,93
Lincoln,75,GB,1569358543,60.01,8.05,53.23,-0.54,93
Vila Velha,0,BR,1569358544,82.4,13.87,-3.71,-38.6,65
Faanui,17,PF,1569358544,79.87,19.69,-16.48,-151.75,76
Boralday,40,KZ,1569358544,57.2,3.6,43.36,76.86,62
Yellowknife,20,CA,1569358545,46.4,14.99,62.45,-114.38,61
Cape Town,0,ZA,1569358545,64,5.82,-33.93,18.42,59
Palestina,34,CO,1569358545,66.73,3.29,1.72,-76.13,84
Lompoc,1,US,1569358546,102.99,17.22,34.64,-120.46,10
Cabo San Lucas,5,MX,1569358334,91.99,14.99,22.89,-109.91,66
Riyadh,0,SA,1569358546,89.6,4.7,24.63,46.72,24
Vila do Maio,100,CV,1569358546,79.69,6.67,15.13,-23.22,87
Slonim,0,BY,1569358546,39.55,8.16,53.09,25.32,70
Khatanga,35,RU,1569358547,34.33,11.72,71.98,102.47,78
Takoradi,45,GH,1569358335,74.29,5.06,4.89,-1.75,95
Fairbanks,40,US,1569358481,42.01,1.54,64.84,-147.72,57
Ulaanbaatar,0,MN,1569358457,39.2,1.03,47.92,106.92,64
Varhaug,90,NO,1569358547,57.2,3.36,58.61,5.65,67
Zhigansk,100,RU,1569358548,34.87,6.55,66.77,123.37,81
Nikolskoye,0,RU,1569358548,41,6.71,59.7,30.79,69
Felanitx,20,ES,1569358548,75.2,9.17,39.47,3.15,83
Vitim,73,RU,1569358549,40.63,3.36,59.44,112.57,85
Mahebourg,20,MU,1569358549,73.4,11.41,-20.41,57.7,88
Warrensburg,40,US,1569358549,81,10.29,38.76,-93.74,65
Abha,0,SA,1569358550,75.2,4.7,18.22,42.5,68
Valparaiso,75,US,1569358550,80.6,13.87,41.47,-87.06,53
Umuarama,77,BR,1569358550,80.05,1.34,-23.76,-53.31,54
Shiyan,100,CN,1569358551,59.53,4.29,32.65,110.78,71
Kedzierzyn-Kozle,20,PL,1569358551,52,2.24,50.35,18.23,93
Cervo,40,BR,1569358551,73.4,5.03,-22.19,-46.24,56
Clyde River,1,CA,1569358551,37.4,3.36,70.47,-68.59,74
Beian,0,NO,1569358552,53.01,9.17,63.66,9.57,81
Luba,0,PH,1569358552,72.13,4.34,17.32,120.7,85
Chico,5,US,1569358552,93.2,19.46,39.73,-121.84,14
Baykit,4,RU,1569358553,37.03,7.67,61.68,96.39,96
Northam,75,AU,1569358553,50,4.7,-31.65,116.67,93
Eureka,1,US,1569358553,81,17.22,40.8,-124.16,60
Lagoa,0,PT,1569358553,75.2,13.87,37.14,-8.45,73
Mitsamiouli,6,KM,1569358554,78.79,17.69,-11.38,43.28,76
Jardim,94,BR,1569358554,89.95,7.65,-21.48,-56.15,31
Lorengau,79,PG,1569358554,79.87,7.85,-2.02,147.27,82
Fonte Boa,100,BR,1569358555,89.41,1.59,-2.51,-66.09,57
Axim,68,GH,1569358555,76.45,9.71,4.87,-2.24,92
Nouadhibou,0,MR,1569358556,69.8,20.8,20.93,-17.03,83
Grand Gaube,20,MU,1569358556,73.4,11.41,-20.01,57.66,88
Narsaq,93,GL,1569358557,51.8,4.7,60.91,-46.05,40
Batagay-Alyta,100,RU,1569358557,18.13,1.86,67.8,130.41,92
Mazagao,40,BR,1569358557,91.4,13.87,-0.12,-51.29,55
Vila Franca do Campo,20,PT,1569358558,71.01,2.24,37.72,-25.43,77
Taltal,99,CL,1569358558,56.29,6.62,-25.41,-70.49,76
Constitucion,40,MX,1569358558,75.99,5.82,23.99,-104.67,43
Tres Arroyos,0,AR,1569358559,65.65,8.01,-38.38,-60.28,61
Juneau,90,US,1569358559,51.8,9.17,58.3,-134.42,93
Digby,100,CA,1569358559,64,3,44.62,-65.76,1
New Amsterdam,100,GY,1569358264,82.75,5.95,6.25,-57.52,73
Fareham,75,GB,1569358560,61,10.29,50.85,-1.18,87
Ponta do Sol,51,BR,1569358560,68.71,3.71,-20.63,-46,75
Flin Flon,75,CA,1569358560,57.2,12.75,54.77,-101.88,50
Bambous Virieux,20,MU,1569358561,73.4,11.41,-20.34,57.76,88
Natchitoches,90,US,1569358561,93.99,4.7,31.76,-93.09,52
Daru,66,PG,1569358561,74.29,6.8,-9.07,143.21,88
Liverpool,75,GB,1569358562,60.01,5.82,53.41,-2.98,93
San Patricio,23,PY,1569358562,76.81,7.83,-26.98,-56.83,61
Gravdal,75,NO,1569358562,57.2,6.93,59.79,5.78,67
Kimbe,83,PG,1569358563,75.73,1.9,-5.56,150.15,87
Bajil,0,ES,1569358563,61.51,5.03,38.23,-2.07,51
San Jeronimo,33,PE,1569358563,63.31,10.18,-13.65,-73.37,50
Husum,99,DE,1569358563,59,4.7,54.49,9.05,93
Perth,75,AU,1569358371,54,6.93,-31.95,115.86,100
West Wendover,1,US,1569358564,73.4,12.75,40.74,-114.07,28
Nome,40,US,1569358564,90,10.29,30.04,-94.42,46
Biscarrosse,0,FR,1569358564,66.99,5.82,44.41,-1.18,72
Husavik,63,CA,1569358564,68,5.99,50.56,-96.99,42
Pachino,0,IT,1569358565,68,3.36,36.72,15.09,56
Iquique,75,CL,1569358565,62.6,10.29,-20.22,-70.14,67
Akureyri,40,IS,1569358566,55.4,13.87,65.68,-18.09,71
Aleksandrov Gay,100,RU,1569358566,45.67,5.28,50.14,48.57,50
Qazvin,0,IR,1569358567,55.4,4.63,36.28,50.01,76
Port Said,0,EG,1569358567,76.81,8.32,25.34,30.55,30
Klaksvik,100,FO,1569358567,51.8,24.16,62.23,-6.59,100
Fortuna,1,US,1569358567,86,17.22,40.6,-124.16,60
Borogontsy,38,RU,1569358568,28.21,4.54,62.67,131.17,89
Surgut,0,RU,1569358568,39.2,11.18,61.25,73.4,89
De Aar,0,ZA,1569358568,47.47,23.26,-30.65,24.01,72
Dubki,85,RU,1569358569,59,6.71,43.02,46.84,82
Pevek,100,RU,1569358569,33.43,12.37,69.7,170.27,96
Balkanabat,0,TM,1569358569,73.57,2.17,39.51,54.36,29
Provideniya,75,RU,1569358569,41,6.71,64.42,-173.23,94
Aswan,0,EG,1569358570,87.8,9.17,24.09,32.9,20
Ilulissat,75,GL,1569358411,37.4,3.36,69.22,-51.1,86
Matagami,100,NG,1569358570,71.77,4.74,9.67,8.4,92
Pangnirtung,90,CA,1569358571,39.2,11.41,66.15,-65.72,93
Richards Bay,33,ZA,1569358571,66.37,33.6,-28.77,32.06,76
Morondava,0,MG,1569358571,76.63,23.35,-20.3,44.28,74
Mirnyy,20,RU,1569358572,32.17,3.98,56.57,36.46,92
Cherskiy,0,RU,1569358572,28.75,5.61,68.75,161.3,77
Ust-Kuyga,100,RU,1569358573,32.53,5.23,70,135.55,97
Isangel,100,VU,1569358573,72.85,21.36,-19.55,169.27,74
Chokurdakh,0,RU,1569358573,24.25,6.69,70.62,147.9,82
Suntar,84,RU,1569358573,36.85,1.5,62.16,117.65,91
Ponta Pora,0,BR,1569358574,80.6,8.05,-22.54,-55.73,44
Cairns,90,AU,1569358574,73.4,8.05,-16.92,145.77,73
Praia,75,BR,1569358574,80.6,8.05,-20.25,-43.81,41
Hofn,100,IS,1569358575,39.73,4.88,64.25,-15.21,99
Dawei,96,MM,1569358575,79.87,14.05,14.07,98.19,75
Swinford,29,IE,1569358575,59,3.27,53.94,-8.95,95
Kavieng,100,PG,1569358575,83.83,8.41,-2.57,150.8,70
Udachnyy,90,RU,1569358576,33.8,4.47,66.42,112.4,100
Cidreira,0,BR,1569358576,62.59,8.43,-30.17,-50.22,78
Anadyr,20,RU,1569358576,30.2,6.71,64.73,177.51,92
Maceio,0,BR,1569358577,78.8,11.41,-9.67,-35.74,61
Airai,88,TL,1569358577,69.43,4.27,-8.93,125.41,80
Auki,14,NG,1569358577,80.95,6.91,12.18,6.51,50
Tagbac,40,PH,1569358577,75.2,2.24,7.09,125.16,94
Meulaboh,100,ID,1569358578,80.05,6.67,4.14,96.13,81
Dwarka,40,IN,1569358578,84,4.7,28.58,77.04,88
Goiania,0,BR,1569358364,93.2,4.7,-16.68,-49.25,28
Mokhsogollokh,95,RU,1569358578,29.47,4.88,61.4,128.95,94
Ouegoa,100,NC,1569358579,71.23,14.34,-20.34,164.44,71
Tuatapere,67,NZ,1569358579,43,11.99,-46.13,167.69,80
Dalby,85,AU,1569358579,57.99,5.61,-27.18,151.26,73
Komsomolskiy,100,RU,1569358580,33.97,15.68,67.55,63.78,96
Havre,75,US,1569358580,68,19.46,48.55,-109.68,34
Mandali,0,IQ,1569358580,84.01,8.32,33.75,45.55,16
Necochea,0,AR,1569358581,68,1.01,-38.55,-58.74,38
Tambun,20,ID,1569358581,79,3.36,-6.26,107.07,78
Tecoanapa,90,MX,1569358582,84.2,3.36,16.99,-99.26,79
Aklavik,40,CA,1569358582,44.6,2.24,68.22,-135.01,70
Nicoya,75,CR,1569358399,80.6,2.24,10.15,-85.45,88
Nizhniy Kuranakh,100,RU,1569358582,30.91,2.73,58.84,125.49,84
Yulara,50,AU,1569358583,46.4,5.82,-25.24,130.99,93
